,0,1
565,goldenageguitar,6
566,goo,7
567,gossipela,6
568,gotten,3
569,gr,16
570,grab,3
571,grace,7
572,graham,6
573,gran,10
574,graviti,6
575,greatkatguitar,4
576,green,25
577,greenpeac,10
578,gretava,1
579,gretsch,6
580,grind,1
581,gu,18
582,gucci,7
583,gui,32
584,guildhal,1
585,guita,7
586,guitarhero,6
587,guitarlegend,6
588,gypsi,7
589,had,2
590,haileyburyuk,3
591,halliday,1
592,hambur,1
593,hanapiranha,1
594,hancock,3
595,hann,1
596,hanukkah,1
597,happen,45
598,hard,11
599,hardwar,6
600,harmoniem,1
601,harp,8
602,harpist,3
603,harvestregionalf,1
604,hashtag,6
605,hastingsphil,3
606,hatchlandsnt,1
607,hate,4
608,haunt,1
609,hav,1
610,havi,1
611,hawksleyworkman,4
612,haydn,2
613,hazel,1
614,heart,15
615,heat,6
616,hector,2
617,heikematthiesen,6
618,heist,6
619,helenlcoleman,1
620,hell,1
621,hello,7
622,helmarbro,1
623,hengistburyband,1
624,henrymancini,3
625,her,1
626,hertsschoolssymphonyorc,1
627,highlight,4
628,hilari,1
629,hiphop,10
630,hire,2
631,hit,5
632,hob,1
633,holdsworth,12
634,hole,1
635,honor,9
636,hoorn,1
637,horn,2
638,hot,1
639,hourofpow,1
640,household,7
641,how,35
642,ht,30
643,http,841
644,humblingofagood,1
645,humid,6
646,hungara,1
647,hungarian,1
648,hurt,3
649,iamfilippo,1
650,iamjzap,2
651,iamphelba,4
652,ianbostridg,6
653,ianpeterb,1
654,ibeliev,6
655,idea,16
656,ideal,1
657,ideasrex,1
658,ident,1
659,identifi,1
660,ihoughton,4
661,ilovechisd,1
662,im,7
663,improm,1
664,improv,1
665,improvis,29
666,imusicacad,1
667,imust,1
668,inaugur,1
669,incident,1
670,includ,7
671,incub,1
672,indielabel,6
673,individualz,6
674,inform,2
675,inishieenishi,4
676,inlay,6
677,inn,1
678,insid,1
679,insidermag,1
680,instagram,4
681,int,2
682,intens,1
683,internati,1
684,interview,6
685,invers,6
686,invertebr,6
687,iridesc,6
688,iryna,1
689,isabella,1
690,islamabad,1
691,itiswel,1
692,jackson,7
693,jamai,16
694,jarrod,1
695,jaymemanto,1
696,jayneubau,36
697,jaz,2
698,jazzcaribben,2
699,jazzm,12
700,jazzmast,6
701,jcolewrld,1
702,jefferystrak,1
703,jellypa,1
704,jem,6
705,jerom,3
706,jerryhul,1
707,jessaliversidg,1
708,jfordbark,2
709,jfrock,6
710,jill,1
711,jimihendrix,6
712,jingfusionviola,1
713,jive,1
714,jlloyd,1
715,jmgerraughti,1
716,joan,2
717,joetk,1
718,joey,2
719,jona,1
720,jose,1
721,josef,1
722,joshuamaxey,18
723,journey,7
724,jsmsmusic,1
725,juan,1
726,juic,4
727,juli,1
728,jung,4
729,junkyard,6
730,just,20
731,jzapal,2
732,kabalevski,1
733,kadeshaviolin,3
734,kaguya,1
735,kansa,1
736,karen,1
737,katjasavia,1
738,kawaipiano,47
739,kaze,4
740,keep,7
741,kembl,2
742,kensymo,1
743,kersonleong,1
744,kesh,1
745,keyboardist,1
746,keyn,1
747,kfit,1
748,kick,4
749,kiddo,1
750,kin,1
751,kiss,6
752,kit,2
753,kitri,1
754,kittaylordreamz,1
755,kkmusic,4
756,klfestiv,1
757,kno,1
758,koch,8
759,kokorokomus,2
760,kouroshdini,1
761,kramer,1
762,krautster,6
763,kun,2
764,la,5
765,lai,1
766,languag,1
767,larri,1
768,last,62
769,latepost,12
770,laugh,3
771,lauvsong,1
772,ld,1
773,lead,24
774,leader,1
775,learnseo,11
776,learntoplaypiano,3
777,leav,7
778,lee,3
779,left,12
780,legendari,2
781,leisur,1
782,length,1
783,leon,1
784,less,1
785,lesson,101
786,lestwef,1
787,let,11
788,levelup,1
789,levysmus,6
790,liang,1
791,librari,3
792,lidl,1
793,lieb,6
794,lifelessonsforu,2
795,like,59
796,likeabletoo,2
797,line,6
798,link,26
799,lionelrichi,7
800,liquid,2
801,lisshin,1
802,litt,2
803,littl,69
804,liv,24
805,lizzo,1
806,local,14
807,lofipiano,1
808,logo,2
809,lookingfor,1
810,loom,1
811,loop,8
812,loophol,6
813,lord,1
814,lorrain,1
815,loud,6
816,lov,8
817,lso,2
818,ltcartoon,10
819,luca,1
820,luizsantosmus,8
821,lula,1
822,lunch,1
823,lunchtim,4
824,lune,1
825,luv,6
826,lxv,1
827,machon,1
828,mackavenuemus,2
829,macki,12
830,mackula,2
831,magnific,2
832,main,8
833,mak,1
834,malon,1
835,mama,1
836,man,10
837,manc,1
838,mani,27
839,marianna,1
840,mark,7
841,marku,1
842,martand,1
843,martin,14
844,maskedrid,1
845,massag,4
846,mat,1
847,materi,1
848,mccann,1
849,mckitrick,1
850,mclaughlin,7
851,mcrae,2
852,medl,4
853,meet,19
854,megalovani,1
855,mela,6
856,melanch,1
857,melancholi,1
858,melbourn,1
859,memor,9
860,memoris,1
861,menennithya,1
862,menorah,1
863,mercado,1
864,meren,2
865,merynda,2
866,messiah,2
867,metheni,6
868,mfolletstream,2
869,mgmtheatr,1
870,mi,6
871,mic,14
872,michaeljbawtre,1
873,microphon,1
874,middleeasternmu,1
875,midw,1
876,mikalynfan,1
877,milan,1
878,mind,9
879,mingu,1
880,minneapoli,1
881,minnet,1
882,mist,1
883,mistaken,6
884,miwa,4
885,mix,8
886,mmmclass,1
887,mo,4
888,mode,4
889,model,6
890,modern,8
891,monday,22
892,mondaymorn,1
893,monster,2
894,montecatini,1
895,month,11
896,mor,14
897,morleo,1
898,most,2
899,mothersl,1
900,motiv,18
901,mou,1
902,mountain,3
903,move,7
904,moviecla,1
905,moza,2
906,mozart,12
907,mozartplay,1
908,mpburmeist,1
909,mr,1
910,mrgibbenglish,3
911,mrwhiskersmedia,4
912,msideelemsccsd,1
913,mu,27
914,muse,3
915,museu,6
916,musica,8
917,musicalorbit,1
918,musicaltheatr,1
919,musicfestiv,1
920,musicgeekch,1
921,musicli,1
922,musicmonday,14
923,musiflo,1
924,musk,1
925,must,1
926,muthiah,1
927,mybeaud,2
928,mydeadfriendz,1
929,namah,2
930,nathali,1
931,navneethsundar,2
932,ne,10
933,nec,6
934,nectarloung,6
935,need,33
936,needl,3
937,negin,2
938,neighbor,1
939,neil,2
940,ner,1
941,networktheband,1
942,never,55
943,newagemus,1
944,newlyw,1
945,news,5
946,newshour,1
947,nex,7
948,nexjuic,13
949,ngd,12
950,niasound,1
951,nice,10
952,nichola,1
953,nick,6
954,nicknam,6
955,nicola,1
956,night,77
957,nik,12
958,nixon,6
959,nobl,7
960,noho,6
961,nordkeyboard,1
962,normanbradio,2
963,nort,1
964,nostalgia,1
965,not,8
966,notic,9
967,notr,6
968,now,18
969,nowwatch,7
970,nsyo,5
971,nudg,1
972,numenrecord,6
973,nut,6
974,nvd,1
975,nyoscotland,2
976,nyso,12
977,octob,1
978,odyssey,1
979,offici,6
980,officialcpmpph,1
981,okay,6
982,old,35
983,oldest,1
984,oliv,6
985,oman,1
986,one,110
987,onlin,23
988,onthisday,1
989,onto,1
990,op,2
991,openyourhymn,1
992,operaworc,2
993,opportun,5
994,optician,6
995,optmiz,1
996,opu,2
997,orca,10
998,orchest,1
999,orchestra,61
1000,orchk,1
1001,origin,14
1002,originalsampl,1
1003,overbook,1
1004,overton,2
1005,overturesldn,5
1006,overwhelm,2
1007,own,1
1008,pack,1
1009,packer,3
1010,padday,1
1011,pagani,2
1012,palestin,1
1013,pamela,2
1014,pan,2
1015,panditja,1
1016,pano,1
1017,park,2
1018,parmarecord,2
1019,part,57
1020,parti,3
1021,pass,3
1022,passag,4
1023,passamezzo,1
1024,passi,1
1025,patadamsbook,1
1026,patient,2
1027,pattern,6
1028,pattri,1
1029,peac,9
1030,ped,6
1031,pedagog,1
1032,peek,3
1033,penn,4
1034,peop,1
1035,peopl,24
1036,percussionist,2
1037,perfect,8
1038,perfor,1
1039,perform,48
1040,person,5
1041,peter,2
1042,peterson,7
1043,philadelphia,1
1044,philharmon,3
1045,phoenixsymphoni,2
1046,phone,1
1047,photoshoot,1
1048,pi,15
1049,pian,13
1050,pianist,31
1051,piano,355
1052,pianomus,2
1053,pic,23
1054,picci,1
1055,pictur,12
1056,pinafor,2
1057,pinkfloyd,6
1058,pinkvi,1
1059,pirat,1
1060,pix,1
1061,pl,5
1062,place,4
1063,plain,1
1064,plan,4
1065,playli,4
1066,playretrorocket,3
1067,playthrough,12
1068,pleyel,1
1069,plu,6
1070,po,3
1071,poegirl,1
1072,pogonowskipiano,1
1073,poli,6
1074,polysypd,1
1075,pond,1
1076,ponder,1
1077,portfolio,1
1078,porticoard,1
1079,portrait,6
1080,posit,7
1081,post,63
1082,poster,2
1083,potsdam,1
1084,pour,1
1085,pr,21
1086,practic,48
1087,practisingpiano,2
1088,prescott,1
1089,present,16
1090,presto,1
1091,prett,1
1092,previou,3
1093,previous,1
1094,pri,1
1095,priest,1
1096,princip,4
1097,pro,14
1098,product,4
1099,productionmus,1
1100,profcompos,1
1101,professor,6
1102,profit,2
1103,program,12
1104,propos,1
1105,proven,2
1106,provid,5
1107,prsguitar,6
1108,pruden,1
1109,psalm,1
1110,ptjasrajfan,1
1111,publishquest,2
1112,purpos,1
1113,push,4
1114,quartet,8
1115,que,1
1116,question,18
1117,quick,11
1118,quit,2
1119,quot,13
1120,ra,7
1121,radiocoolio,1
1122,radnich,1
1123,ragnarok,6
1124,rallyp,2
1125,ramajay,1
1126,rang,4
1127,rapbeat,1
1128,raposo,6
1129,rchtwecar,1
1130,rcm,1
1131,read,5
1132,readi,51
1133,readvert,1
1134,realli,28
1135,realstravinski,1
1136,realtormom,1
1137,realwilljanssen,1
1138,reaquaint,6
1139,reason,30
1140,reb,2
1141,reborn,6
1142,recit,15
1143,record,54
1144,redempt,2
1145,redtruckb,1
1146,refer,1
1147,refin,2
1148,regist,1
1149,rehearsa,2
1150,rehearsalweekend,1
1151,reinier,6
1152,rekeshc,1
1153,releas,44
1154,relightorch,1
1155,remark,6
1156,remind,7
1157,renat,12
1158,rendez,5
1159,repa,12
1160,repost,35
1161,request,8
1162,resid,1
1163,resourc,6
1164,restora,1
1165,return,12
1166,retweet,1
1167,reveal,1
1168,reverbn,1
1169,rhumba,1
1170,rhythmandb,1
1171,rig,12
1172,riv,1
1173,rizzi,1
1174,rnb,1
1175,robbi,6
1176,robbin,6
1177,robertr,6
1178,rockband,2
1179,romant,13
1180,ronajawetz,5
1181,rondeau,1
1182,ronhi,1
1183,room,21
1184,rosi,1
1185,rowdysoul,2
1186,roy,3
1187,royrob,1
1188,rubaalhammouri,16
1189,rubin,1
1190,rudolfhaken,1
1191,rum,6
1192,ruslanpianonew,2
1193,ryan,1
1194,sadhana,6
1195,safe,6
1196,saffyr,12
1197,safin,2
1198,sale,14
1199,salk,2
1200,salsa,3
1201,salut,1
1202,samm,1
1203,sammyyoungjnr,1
1204,sampl,2
1205,samsamhay,4
1206,san,17
1207,sangeethothsav,1
1208,sanremoanchenoi,9
1209,sat,7
1210,sati,2
1211,satur,5
1212,saw,1
1213,sbasess,1
1214,scale,33
1215,scare,1
1216,scene,1
1217,school,28
1218,schoolmckitrick,3
1219,schubert,1
1220,scientist,1
1221,scottbrosduo,1
1222,scrapi,1
1223,sea,12
1224,seafoam,6
1225,seasid,4
1226,sebastian,1
1227,second,5
1228,secondmov,1
1229,seen,2
1230,semi,6
1231,sent,2
1232,septa,1
1233,sergei,2
1234,serra,2
1235,serv,1
1236,settl,1
1237,sha,1
1238,shade,2
1239,shadowmountainchurch,1
1240,shaiwo,1
1241,shallow,11
1242,shanghai,1
1243,shannonclam,1
1244,shape,1
1245,sharonebil,3
1246,shave,6
1247,shawnsmit,1
1248,shidahikaru,13
1249,shigemat,3
1250,shine,1
1251,shogun,1
1252,shop,22
1253,shoulder,1
1254,shredviolin,1
1255,si,2
1256,sidewalk,1
1257,sign,3
1258,similar,6
1259,simpli,2
1260,sing,29
1261,singer,19
1262,singl,39
1263,siriusxm,1
1264,sister,1
1265,sketch,1
1266,sketchybongo,2
1267,skircoatgdirect,1
1268,sky,6
1269,skyl,1
1270,skype,1
1271,slack,6
1272,slide,7
1273,slowli,1
1274,smile,2
1275,smithcenterlv,3
1276,smooth,2
1277,sneakpeek,1
1278,snippet,3
1279,snorlaxconcerto,1
1280,sodburymusicsoc,1
1281,sof,6
1282,solidar,4
1283,solidarit,3
1284,solito,1
1285,solo,47
1286,some,15
1287,somebodi,3
1288,someon,4
1289,somethin,2
1290,somewher,6
1291,song,131
1292,songmakerprod,1
1293,sooo,2
1294,sophi,1
1295,sophiegsing,1
1296,sophiepolsimon,3
1297,sorri,3
1298,sou,1
1299,souff,2
1300,soul,10
1301,sound,24
1302,soundart,6
1303,soundboard,6
1304,soundclo,1
1305,soundcloud,2
1306,soundproof,6
1307,soundscap,2
1308,sourc,1
1309,southso,1
1310,spe,1
1311,speak,3
1312,speaker,2
1313,spector,12
1314,speedytuto,1
1315,spend,7
1316,spohr,1
1317,spoon,2
1318,spot,13
1319,spotlight,2
1320,spread,1
1321,springtim,1
1322,squar,4
1323,sramain,1
1324,srinualm,1
1325,sshspeakeasi,2
1326,sta,8
1327,staff,2
1328,stage,5
1329,stalbansstr,1
1330,stand,3
1331,star,27
1332,static,1
1333,steckel,1
1334,steinway,1
1335,steinwayand,1
1336,stellar,1
1337,stephendevassi,7
1338,stloui,1
1339,stone,6
1340,stop,9
1341,storm,2
1342,stpancra,2
1343,stratocast,6
1344,stravinski,1
1345,street,14
1346,stride,3
1347,string,44
1348,strongest,1
1349,strum,7
1350,strumbow,1
1351,stud,6
1352,studi,11
1353,su,3
1354,submit,1
1355,subscript,1
1356,suc,6
1357,succ,2
1358,suf,1
1359,suheal,1
1360,sunday,20
1361,sunrisesrliv,1
1362,supe,3
1363,super,27
1364,superb,1
1365,suppli,6
1366,sur,1
1367,surpris,4
1368,surrend,3
1369,surreydmm,6
1370,svenlaux,1
1371,swar,6
1372,sxsw,2
1373,sygnet,1
1374,symp,1
1375,syn,1
1376,system,18
1377,tacet,1
1378,tag,5
1379,tagliar,6
1380,taiwan,1
1381,takada,1
1382,take,34
1383,takeo,1
1384,takeov,5
1385,taliartwork,4
1386,tamitrailscap,3
1387,tap,1
1388,tara,3
1389,tate,2
1390,taught,1
1391,te,1
1392,teach,5
1393,tearjerk,1
1394,technic,6
1395,techniqu,1
1396,tediou,3
1397,telecast,18
1398,telf,1
1399,telford,1
1400,tell,9
1401,temasmith,2
1402,temper,1
1403,ter,6
1404,terri,1
1405,test,2
1406,th,23
1407,thanet,1
1408,that,15
1409,theater,2
1410,theatric,1
1411,theduso,1
1412,thegracienot,1
1413,thegreatest,1
1414,thegrindneverstop,1
1415,theguitarcr,6
1416,theia,1
1417,thejoy,1
1418,theloni,2
1419,thenvgow,1
1420,theonyxx,1
1421,thewoundedxn,1
1422,thewychelm,1
1423,they,6
1424,thi,89
1425,thing,48
1426,thingivers,1
1427,thinlin,6
1428,tho,2
1429,thomasfrey,4
1430,thorsebi,1
1431,those,1
1432,thousand,1
1433,thr,1
1434,thrash,2
1435,thro,1
1436,throne,51
1437,throu,1
1438,throwbackthursday,2
1439,thu,5
1440,thur,1
1441,tick,1
1442,ticket,15
1443,tidomus,1
1444,tigerwood,2
1445,tight,1
1446,tile,2
1447,tini,3
1448,tinydeskcon,1
1449,tire,3
1450,titan,2
1451,titl,1
1452,toda,4
1453,todayi,1
1454,toma,1
1455,tommyemmanuel,6
1456,tompkin,3
1457,toni,2
1458,took,3
1459,toot,1
1460,tophat,30
1461,tot,2
1462,touch,27
1463,touchdown,2
1464,townsend,6
1465,trad,1
1466,trafficinmyhead,1
1467,trailer,1
1468,trap,8
1469,trck,1
1470,tre,6
1471,treat,4
1472,trevor,1
1473,trini,1
1474,tripho,1
1475,troub,1
1476,true,2
1477,trusti,1
1478,tsumug,4
1479,tue,8
1480,tuesday,23
1481,tulsa,1
1482,tun,12
1483,tuni,1
1484,turkishmarch,1
1485,turn,8
1486,tvctwitch,4
1487,twi,1
1488,twitch,9
1489,two,26
1490,typic,7
1491,tyronewilkinsjr,3
1492,ukuel,2
1493,underfoot,1
1494,underway,2
1495,unexpect,1
1496,unimap,1
1497,unit,5
1498,unplugg,54
1499,unqiu,1
1500,up,3
1501,upcomi,1
1502,upcycl,1
1503,upper,1
1504,upstair,2
1505,upstream,6
1506,us,50
1507,usmansak,1
1508,utrgvpatron,3
1509,vacanc,1
1510,vacatio,1
1511,valentino,1
1512,vanic,1
1513,variat,6
1514,varni,1
1515,vcr,1
1516,verilymag,1
1517,vertic,6
1518,vgmacademi,1
1519,vi,9
1520,vianu,2
1521,vibra,1
1522,video,85
1523,vienna,6
1524,vijay,1
1525,viktor,1
1526,vilo,1
1527,vio,3
1528,viol,4
1529,violi,5
1530,violinadventur,2
1531,violincas,3
1532,violinrichmond,5
1533,viool,1
1534,virtuos,1
1535,visit,9
1536,vivaldi,2
1537,voic,31
1538,vol,9
1539,vou,5
1540,vulpesxlagopu,2
1541,wagner,1
1542,wake,6
1543,walsal,1
1544,waltz,2
1545,want,54
1546,warm,6
1547,warmth,2
1548,watch,90
1549,water,2
1550,way,19
1551,weareindiejazz,1
1552,weekend,23
1553,weekendshow,1
1554,weekli,4
1555,welcom,6
1556,well,7
1557,west,3
1558,westlif,1
1559,wh,2
1560,what,46
1561,whi,7
1562,whiskey,12
1563,whiter,1
1564,who,8
1565,wholesalehandbag,11
1566,wick,3
1567,wildm,1
1568,wildman,1
1569,willhaviland,2
1570,william,2
1571,win,94
1572,winner,1
1573,winter,4
1574,wire,1
1575,wisdom,2
1576,wit,10
1577,wkmt,2
1578,wmbgsymphoni,1
1579,work,45
1580,worldtalentmag,2
1581,worldwid,1
1582,wow,2
1583,wpomus,1
1584,writi,1
1585,written,2
1586,wunderkind,1
1587,xvive,6
1588,year,55
1589,yelawolf,1
1590,yellow,1
1591,yep,7
1592,yester,1
1593,yesternight,2
1594,yo,13
1595,yogipandatweet,2
1596,yoshikitti,1
1597,you,103
1598,young,2
1599,your,52
1600,youtheso,5
1601,youtub,70
1602,yr,1
1603,zachwirchak,1
1604,zeta,1
1605,zgfoffici,1
1606,zitu,1
1607,AI,1
1608,Am,2
1609,As,23
1610,BE,13
1611,Br,3
1612,CD,13
1613,Ch,15
1614,DO,7
1615,Da,2
1616,Dj,3
1617,ET,1
1618,Fe,1
1619,GO,1
1620,HH,6
1621,Hi,15
1622,Ho,6
1623,IG,1
1624,IS,23
1625,In,47
1626,It,50
1627,Iz,1
1628,Ki,1
1629,LA,12
1630,MU,2
1631,Ma,7
1632,My,57
1633,Ni,1
1634,No,13
1635,Nu,1
1636,Oh,10
1637,On,15
1638,Qu,1
1639,RM,6
1640,Re,1
1641,SL,1
